Exported,Product,Site Name,Tank Dip,Transaction Date/Time,Vehicle Number,Vehicle Registration,Vehicle Brand,Vehicle Model,Volume
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-04 14:15:00,DT28472,,,,29.08000
False,Diesel,Europcar Gl. Kongevej,,2025-02-04 14:38:00,CU39198,,,,4.07000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-04 15:23:00,DT32246,,,,23.04000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-04 16:03:00,DT85258,,,,12.10000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-05 06:08:00,DA48681,,,,37.30000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-05 06:17:00,EB70218,,,,4.00000
False,Diesel,Europcar Gl. Kongevej,,2025-02-05 06:31:00,DE80399,,,,5.27000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-05 09:04:00,DS84724,,,,31.78000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-05 10:34:00,EF20871,,,,8.16000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-05 11:52:00,DV17667,,,,1.67000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-05 13:14:00,DS39282,,,,6.54000
False,Diesel,Europcar Gl. Kongevej,,2025-02-05 14:45:00,DA55683,,,,56.34000
False,Benzin - Blyfri,Europcar Gl. Kongevej,,2025-02-05 15:16:00,DT26841,,,,16.08000
False,Diesel,Europcar Gl. Kongevej,,2025-02-05 16:18:00,DV52983,,,,9.93000
