Transaction Date/Time,Vehicle Number,Odometer,Product,Volume,Customer Price,Total Price
2025-12-09 07:36:00,EL31503,10.0,Diesel,57.01000,25.00000,1425.25
2025-12-09 07:30:00,EK10085,16707.0,Benzin - Blyfri,25.08000,25.00000,627.0
2025-12-09 07:13:00,EA55601,33062.0,Benzin - Blyfri,35.14000,25.00000,878.5
2025-12-09 07:06:00,CX48600,97416.0,Benzin - Blyfri,20.01000,25.00000,500.25
2025-12-09 06:24:00,EE66433,29558.0,Diesel,10.01000,25.00000,250.25
2025-12-08 17:11:00,EC14978,34528.0,Benzin - Blyfri,24.62000,25.00000,615.5
2025-12-08 17:03:00,JOC15Z,21918.0,Benzin - Blyfri,20.07000,25.00000,501.75
2025-12-08 15:44:00,EB53269,38384.0,Diesel,3.91000,25.00000,97.75
2025-12-08 13:34:00,EG23949,30838.0,Benzin - Blyfri,42.75000,25.00000,1068.75
2025-12-08 12:00:00,DT59523,95364.0,Diesel,5.19000,25.00000,129.75
2025-12-08 09:37:00,DV88901,28688.0,Benzin - Blyfri,18.89000,25.00000,472.25
2025-12-08 08:35:00,EL27005,3321.0,Benzin - Blyfri,26.06000,25.00000,651.5
2025-12-08 07:40:00,EH57551,20541.0,Benzin - Blyfri,40.00000,25.00000,1000.0
2025-12-08 05:57:00,DV52965,59470.0,Diesel,6.06000,25.00000,151.5
2025-12-08 05:36:00,EB59076,31471.0,Benzin - Blyfri,29.05000,25.00000,726.25
2025-12-07 07:36:00,EA44401,18099.0,Benzin - Blyfri,20.12000,25.00000,503.0
2025-12-07 07:14:00,DE54004,98044.0,Diesel,14.59000,25.00000,364.75
2025-12-07 07:06:00,EH80227,7346.0,Benzin - Blyfri,10.12000,25.00000,253.0
2025-12-07 06:48:00,DV41579,48148.0,Benzin - Blyfri,8.11000,25.00000,202.75
2025-12-07 06:38:00,EC87729,34141.0,Benzin - Blyfri,38.33000,25.00000,958.25
2025-12-07 06:30:00,EC97141,30556.0,Benzin - Blyfri,26.37000,25.00000,659.25
2025-12-06 12:24:00,EK10083,15116.0,Benzin - Blyfri,28.09000,25.00000,702.25
2025-12-06 07:43:00,EL88383,2198.0,Diesel,17.10000,25.00000,427.5
2025-12-06 07:18:00,EB52428,48131.0,Diesel,59.11000,25.00000,1477.75
2025-12-05 16:55:00,DA85332,40942.0,Diesel,32.53000,25.00000,813.25
2025-12-05 15:10:00,DM86993,57261.0,Benzin - Blyfri,16.00000,25.00000,400.0
2025-12-05 13:29:00,EL14319,226.0,Benzin - Blyfri,3.05000,25.00000,76.25
2025-12-05 07:38:00,EB87034,41374.0,Benzin - Blyfri,24.14000,25.00000,603.5
2025-12-05 07:20:00,EL31484,10.0,Benzin - Blyfri,45.89000,25.00000,1147.25
2025-12-05 07:14:00,EL27023,15.0,Benzin - Blyfri,46.05000,25.00000,1151.25
2025-12-05 06:52:00,EL27024,12.0,Benzin - Blyfri,46.80000,25.00000,1170.0
2025-12-05 06:43:00,EC14959,30789.0,Benzin - Blyfri,10.43000,25.00000,260.75
2025-12-05 06:29:00,DH13948,52090.0,Benzin - Blyfri,2.68000,25.00000,67.0
2025-12-05 06:20:00,DC18360,76483.0,Benzin - Blyfri,32.21000,25.00000,805.25
2025-12-05 06:12:00,EK21841,7291.0,Benzin - Blyfri,24.85000,25.00000,621.25
2025-12-05 06:08:00,EL31483,12.0,Benzin - Blyfri,47.65000,25.00000,1191.25
2025-12-05 06:04:00,EG66571,9452.0,Diesel,8.89000,25.00000,222.25
2025-12-05 05:53:00,DJ39193,77767.0,Benzin - Blyfri,13.05000,25.00000,326.25
2025-12-04 16:54:00,EJ22598,25214.0,Benzin - Blyfri,28.56000,25.00000,714.0
2025-12-04 14:20:00,DV54833,63121.0,Diesel,7.04000,25.00000,176.0
2025-12-04 12:42:00,EL14319,201.0,Benzin - Blyfri,11.14000,25.00000,278.5
2025-12-04 11:08:00,DV41579,47437.0,Benzin - Blyfri,16.61000,25.00000,415.25
2025-12-04 10:59:00,EC59133,38954.0,Benzin - Blyfri,2.86000,25.00000,71.5
2025-12-04 09:50:00,EB8330,15901.0,Benzin - Blyfri,16.94000,25.00000,423.5
2025-12-04 08:55:00,EK71569,9703.0,Benzin - Blyfri,14.26000,25.00000,356.5
